format-color-fill	&#xF2FB;
format-header-1	&#xF2FC;
format-header-2	&#xF2FD;
format-header-3	&#xF2FE;
format-header-4	&#xF2FF;
format-header-5	&#xF300;
format-header-6	&#xF301;
format-header-pound	&#xF302;
format-indent-decrease	&#xF303;
format-indent-increase	&#xF304;
format-italic	&#xF305;
format-line-spacing	&#xF306;
format-list-bulleted	&#xF307;
format-list-numbers	&#xF308;
format-paint	&#xF309;
format-paragraph	&#xF30A;
format-quote	&#xF30B;
format-size	&#xF30C;
format-strikethrough	&#xF30D;
format-subscript	&#xF30E;
format-superscript	&#xF30F;
format-text	&#xF310;
format-textdirection-l-to-r	&#xF311;
format-textdirection-r-to-l	&#xF312;
format-underline	&#xF313;
forum	&#xF314;
forward	&#xF315;
foursquare	&#xF316;
fridge	&#xF317;
fullscreen	&#xF318;
fullscreen-exit	&#xF319;
function	&#xF31A;
gamepad	&#xF31B;
gamepad-variant	&#xF31C;
gas-station	&#xF31D;
gavel	&#xF31E;
gender-female	&#xF31F;
gender-male	&#xF320;
gender-male-female	&#xF321;
gender-transgender	&#xF322;
gift	&#xF323;
github-box	&#xF324;
github-circle	&#xF325;
glass-flute	&#xF326;
glass-mug	&#xF327;
glass-stange	&#xF328;
glass-tulip	&#xF329;
gmail	&#xF32A;
google	&#xF32B;
google-chrome	&#xF32C;
google-circles	&#xF32D;
google-circles-communities	&#xF32E;
google-circles-extended	&#xF32F;
google-circles-group	&#xF330;
google-controller	&#xF331;
google-controller-off	&#xF332;
google-drive	&#xF333;
google-earth	&#xF334;
google-glass	&#xF335;
google-maps	&#xF336;
google-pages	&#xF337;
google-play	&#xF338;
google-plus	&#xF339;
google-plus-box	&#xF33A;
grid	&#xF33B;
grid-off	&#xF33C;
guitar-pick	&#xF33D;
guitar-pick-outline	&#xF33E;
hand-pointing-right	&#xF33F;
hanger	&#xF340;
hangouts	&#xF341;
harddisk	&#xF342;
headphones	&#xF343;
headphones-box	&#xF344;
headphones-settings	&#xF345;
headset	&#xF346;
headset-dock	&#xF347;
headset-off	&#xF348;
heart	&#xF349;
heart-box	&#xF34A;
heart-box-outline	&#xF34B;
heart-broken	&#xF34C;
heart-outline	&#xF34D;
help	&#xF34E;
help-circle	&#xF34F;
hexagon	&#xF350;
hexagon-outline	&#xF351;
history	&#xF352;
hololens	&#xF353;
home	&#xF354;
home-modern	&#xF355;
home-variant	&#xF356;
hops	&#xF357;
hospital	&#xF358;
hospital-building	&#xF359;
hospital-marker	&#xF35A;
hotel	&#xF35B;
houzz	&#xF35C;
houzz-box	&#xF35D;
